date_month,sector,adoption_rate_pct,mom_change_pp
2024-10-01,Health care,21.46,0.31
2024-10-01,Manufacturing,31.45,1.13
2024-10-01,Retail,26.47,1.26
2024-10-01,Technology and media,64.99,0.52
2024-11-01,Accommodation and food services,18.18,0.22
2024-11-01,Construction,16.93,-0.89
2024-11-01,Finance and insurance,51.24,0.97
2024-11-01,Health care,21.56,0.1
2024-11-01,Manufacturing,31.98,0.53
2024-11-01,Retail,27.29,0.83
2024-11-01,Technology and media,65.88,0.89
2024-12-01,Accommodation and food services,17.84,-0.34
2024-12-01,Construction,18.16,1.22
2024-12-01,Finance and insurance,51.65,0.4
2024-12-01,Health care,22.68,1.13
2024-12-01,Manufacturing,31.8,-0.18
2024-12-01,Retail,28.88,1.59
2024-12-01,Technology and media,65.66,-0.22
2025-01-01,Accommodation and food services,18.53,0.69
2025-01-01,Construction,19.6,1.45
2025-01-01,Finance and insurance,53.07,1.42
2025-01-01,Health care,23.64,0.95
2025-01-01,Manufacturing,33.77,1.96
2025-01-01,Retail,28.64,-0.23
2025-01-01,Technology and media,66.49,0.83
2025-02-01,Accommodation and food services,19.23,0.7
2025-02-01,Construction,20.7,1.1
2025-02-01,Finance and insurance,55.11,2.04
2025-02-01,Health care,24.71,1.07
2025-02-01,Manufacturing,34.41,0.64
2025-02-01,Retail,28.36,-0.28
2025-02-01,Technology and media,67.12,0.62
2025-03-01,Accommodation and food services,19.54,0.31
2025-03-01,Construction,22.02,1.32
2025-03-01,Finance and insurance,55.37,0.25
2025-03-01,Health care,24.38,-0.33
2025-03-01,Manufacturing,35.56,1.15
2025-03-01,Retail,27.87,-0.5
2025-03-01,Technology and media,68.7,1.59
2025-04-01,Accommodation and food services,20.63,1.09
2025-04-01,Construction,23.22,1.2
2025-04-01,Finance and insurance,57.15,1.78
2025-04-01,Health care,25.63,1.25
2025-04-01,Manufacturing,38.14,2.58
2025-04-01,Retail,33.81,5.95
2025-04-01,Technology and media,69.03,0.33
2025-05-01,Accommodation and food services,20.56,-0.07
2025-05-01,Construction,24.94,1.72
2025-05-01,Finance and insurance,58.56,1.41
2025-05-01,Health care,27.49,1.86
2025-05-01,Manufacturing,39.93,1.79
2025-05-01,Retail,32.66,-1.16
2025-05-01,Technology and media,69.9,0.87
2025-06-01,Accommodation and food services,21.79,1.23
2025-06-01,Construction,26.35,1.4
2025-06-01,Finance and insurance,59.59,1.03
2025-06-01,Health care,28.57,1.08
2025-06-01,Manufacturing,41.34,1.41
2025-06-01,Retail,33.79,1.13
2025-06-01,Technology and media,70.75,0.85
2025-07-01,Accommodation and food services,22.95,1.16
2025-07-01,Construction,28.52,2.17
2025-07-01,Finance and insurance,59.57,-0.02
2025-07-01,Health care,29.29,0.73
2025-07-01,Manufacturing,43.46,2.12
2025-07-01,Retail,35.54,1.75
2025-07-01,Technology and media,72.23,1.48
2025-08-01,Accommodation and food services,22.43,-0.52
2025-08-01,Construction,30.59,2.07
2025-08-01,Finance and insurance,60.1,0.53
2025-08-01,Health care,30.95,1.66
2025-08-01,Manufacturing,44.81,1.35
2025-08-01,Retail,35.22,-0.32
2025-08-01,Technology and media,72.42,0.2
2025-09-01,Accommodation and food services,23.52,1.1
2025-09-01,Construction,30.96,0.37
2025-09-01,Finance and insurance,59.83,-0.27
2025-09-01,Health care,31.86,0.9
2025-09-01,Manufacturing,44.7,-0.11
2025-09-01,Retail,35.54,0.32
2025-09-01,Technology and media,73.01,0.58
2025-10-01,Accommodation and food services,24.34,0.81
2025-10-01,Construction,31.01,0.05
2025-10-01,Finance and insurance,60.46,0.63
2025-10-01,Health care,31.06,-0.8
2025-10-01,Manufacturing,44.73,0.03
2025-10-01,Retail,35.95,0.41
2025-10-01,Technology and media,73.08,0.08
2025-11-01,Accommodation and food services,25.09,0.76
2025-11-01,Construction,31.93,0.93
2025-11-01,Finance and insurance,60.2,-0.26
2025-11-01,Health care,32.64,1.58
2025-11-01,Manufacturing,46.62,1.89
2025-11-01,Retail,37.09,1.13
2025-11-01,Technology and media,73.36,0.28
2025-12-01,Accommodation and food services,25.85,0.75
2025-12-01,Construction,31.54,-0.4
2025-12-01,Finance and insurance,59.65,-0.54
2025-12-01,Health care,32.32,-0.31
2025-12-01,Manufacturing,46.84,0.22
2025-12-01,Retail,37.66,0.57
2025-12-01,Technology and media,73.27,-0.09
2026-01-01,Accommodation and food services,27,1.16
2026-01-01,Construction,32.84,1.3
2026-01-01,Finance and insurance,62.35,2.7
2026-01-01,Health care,33.02,0.69
2026-01-01,Manufacturing,47.91,1.07
2026-01-01,Retail,39.5,1.84
2026-01-01,Technology and media,74.56,1.29
2026-02-01,Accommodation and food services,27.2,0.19
2026-02-01,Construction,33.24,0.4
2026-02-01,Finance and insurance,66.56,4.21
2026-02-01,Health care,34.75,1.74
2026-02-01,Manufacturing,50.4,2.49
2026-02-01,Retail,42.32,2.82
2026-02-01,Technology and media,76.82,2.26
2026-03-01,Accommodation and food services,29.23,2.03
2026-03-01,Construction,36.56,3.32
2026-03-01,Finance and insurance,69.68,3.12
2026-03-01,Health care,36.54,1.79
2026-03-01,Manufacturing,53.49,3.09
2026-03-01,Retail,44.69,2.37
2026-03-01,Technology and media,77.97,1.15
2026-04-01,Accommodation and food services,29.04,-0.19
2026-04-01,Construction,38.18,1.62
2026-04-01,Finance and insurance,71.09,1.41
2026-04-01,Health care,39.4,2.85
2026-04-01,Manufacturing,56.34,2.84
2026-04-01,Retail,47,2.31
2026-04-01,Technology and media,79.13,1.16
2026-05-01,Accommodation and food services,30.92,1.88
2026-05-01,Construction,39.86,1.68
2026-05-01,Finance and insurance,73.05,1.96
2026-05-01,Health care,41.21,1.82
2026-05-01,Manufacturing,58.01,1.68
2026-05-01,Retail,47,0
2026-05-01,Technology and media,79.01,-0.12
2026-06-01,Accommodation and food services,30.67,-0.25
2026-06-01,Construction,40.84,0.98
2026-06-01,Finance and insurance,73.55,0.51
2026-06-01,Health care,41.89,0.68
2026-06-01,Manufacturing,59.14,1.13
2026-06-01,Retail,48.81,1.82
2026-06-01,Technology and media,79.76,0.75
