date_month,model_company,adoption_rate_pct,mom_change_pp
2025-05-01,Anthropic,12.92,0.48
2025-05-01,DeepSeek,0.08,-0.02
2025-05-01,Google,5.44,0.39
2025-05-01,OpenAI,38.69,1.15
2025-05-01,xAI,1.75,-0.01
2025-06-01,Anthropic,14.2,1.28
2025-06-01,DeepSeek,0.07,-0.02
2025-06-01,Google,5.39,-0.05
2025-06-01,OpenAI,39.38,0.69
2025-06-01,xAI,1.72,-0.04
2025-07-01,Anthropic,15.45,1.25
2025-07-01,DeepSeek,0.1,0.04
2025-07-01,Google,5.46,0.07
2025-07-01,OpenAI,40.26,0.88
2025-07-01,xAI,3.3,1.58
2025-08-01,Anthropic,16.2,0.75
2025-08-01,DeepSeek,0.07,-0.03
2025-08-01,Google,5.33,-0.13
2025-08-01,OpenAI,40.97,0.71
2025-08-01,xAI,3.04,-0.25
2025-09-01,Anthropic,16.57,0.36
2025-09-01,DeepSeek,0.07,0.01
2025-09-01,Google,5.47,0.15
2025-09-01,OpenAI,41.22,0.25
2025-09-01,xAI,2.79,-0.26
2025-10-01,Anthropic,17.2,0.64
2025-10-01,DeepSeek,0.09,0.02
2025-10-01,Google,5.47,0
2025-10-01,OpenAI,40.92,-0.3
2025-10-01,xAI,2.8,0.01
2025-11-01,Anthropic,17.87,0.66
2025-11-01,DeepSeek,0.08,-0.01
2025-11-01,Google,5.64,0.17
2025-11-01,OpenAI,41.36,0.44
2025-11-01,xAI,2.75,-0.05
2025-12-01,Anthropic,18.4,0.54
2025-12-01,DeepSeek,0.13,0.05
2025-12-01,Google,5.82,0.18
2025-12-01,OpenAI,41.2,-0.16
2025-12-01,xAI,2.85,0.09
2026-01-01,Anthropic,21.69,3.28
2026-01-01,DeepSeek,0.1,-0.03
2026-01-01,Google,6.12,0.31
2026-01-01,OpenAI,41.07,-0.13
2026-01-01,xAI,2.9,0.05
2026-02-01,Anthropic,27.47,5.79
2026-02-01,DeepSeek,0.12,0.02
2026-02-01,Google,6.33,0.21
2026-02-01,OpenAI,41.17,0.1
2026-02-01,xAI,2.9,0
2026-03-01,Anthropic,34.14,6.66
2026-03-01,DeepSeek,0.12,0
2026-03-01,Google,5.94,-0.39
2026-03-01,OpenAI,40.28,-0.89
2026-03-01,xAI,2.93,0.02
2026-04-01,Anthropic,38.57,4.43
2026-04-01,DeepSeek,0.2,0.08
2026-04-01,Google,6.15,0.2
2026-04-01,OpenAI,39.63,-0.64
2026-04-01,xAI,3.01,0.09
2026-05-01,Anthropic,41.01,2.45
2026-05-01,DeepSeek,0.3,0.1
2026-05-01,Google,6.11,-0.03
2026-05-01,OpenAI,39.54,-0.1
2026-05-01,xAI,3.12,0.11
2026-06-01,Anthropic,42.4,1.39
2026-06-01,DeepSeek,0.29,-0.01
2026-06-01,Google,6.38,0.27
2026-06-01,OpenAI,39.47,-0.06
2026-06-01,xAI,3.03,-0.09
